TITLE,TOTAL_HOURS,CATEGORY,Ingredients,Protein_g,KCal,Fat_g,Carbs_g,Iron_mg,Fiber_g
Paneer Kolhapuri,1.5,Lunch,"Cumin, Coriander Seeds, Cloves, Cardamom, Black Pepper, Kashmiri Red Chilli, Coconut Dry, Paneer, bay leaf, Onion, Tomato, Ginger Paste, Garlic Paste, Salt, Turmeric, Kasuri Methi",18,420,28,22,3.2,4.5
Paneer Kolhapuri,1.5,Dinner,"Cumin, Coriander Seeds, Cloves, Cardamom, Black Pepper, Kashmiri Red Chilli, Coconut Dry, Paneer, bay leaf, Onion, Tomato, Ginger Paste, Garlic Paste, Salt, Turmeric, Kasuri Methi",18,420,28,22,3.2,4.5
Paneer Tikka Masala,1.5,Lunch,"Cardamoms, Onion, Tomatoes, Sugar, Cashew, Sugar, Salt, Kashmiri Red Chilli, Garam Masala, Coriander Powder, Bay Leaf, Cinnamon, Cloves, Butter, Ginger Paste, Garlic Paste, Coriander, Cream, Kasuri Methi, Paneer",20,480,32,26,3.5,5.0
Paneer Tikka Masala,1.5,Dinner,"Cardamoms, Onion, Tomatoes, Sugar, Cashew, Sugar, Salt, Kashmiri Red Chilli, Garam Masala, Coriander Powder, Bay Leaf, Cinnamon, Cloves, Butter, Ginger Paste, Garlic Paste, Coriander, Cream, Kasuri Methi, Paneer",20,480,32,26,3.5,5.0
Dal Khichdi,1,Lunch,"Rice, Yellow Moong Dal, Tur Dal, Red Dal, Turmeric, Salt, Ghee, Cumin Seeds, Asafoetida, Green Chilies, Ginger, Garlic, Schezwan Chutney",14,380,8,62,4.8,8.5
Dal Khichdi,1,Dinner,"Rice, Yellow Moong Dal, Tur Dal, Red Dal, Turmeric, Salt, Ghee, Cumin Seeds, Asafoetida, Green Chilies, Ginger, Garlic, Schezwan Chutney",14,380,8,62,4.8,8.5
Dal Khichdi,1,Breakfast,"Rice, Yellow Moong Dal, Tur Dal, Red Dal, Turmeric, Salt, Ghee, Cumin Seeds, Asafoetida, Green Chilies, Ginger, Garlic, Schezwan Chutney",14,380,8,62,4.8,8.5
Dal Rice,1,Lunch,"Rice, Tur Dal, Turmeric, Salt, Cumin Seeds, Oil Or Ghee, Garlic",12,360,6,65,4.2,7.0
Dal Rice,1,Dinner,"Rice, Tur Dal, Turmeric, Salt, Cumin Seeds, Oil Or Ghee, Garlic",12,360,6,65,4.2,7.0
Pav Bhaji,1,Lunch,"Potato, Cauliflower, Green Peas, Carrot, Capsicum, Tomatoes, Onion, Butter, Pav Bhaji Masala, Turmeric, Red Chili Powder, Salt, Garlic, Ginger, Lemon, Coriander Leaves, Pav",10,450,18,62,3.8,9.0
Pav Bhaji,1,Dinner,"Potato, Cauliflower, Green Peas, Carrot, Capsicum, Tomatoes, Onion, Butter, Pav Bhaji Masala, Turmeric, Red Chili Powder, Salt, Garlic, Ginger, Lemon, Coriander Leaves, Pav",10,450,18,62,3.8,9.0
Pav Bhaji,1,Breakfast,"Potato, Cauliflower, Green Peas, Carrot, Capsicum, Tomatoes, Onion, Butter, Pav Bhaji Masala, Turmeric, Red Chili Powder, Salt, Garlic, Ginger, Lemon, Coriander Leaves, Pav",10,450,18,62,3.8,9.0
Soya Tikka Masala,1.5,Lunch,"Cardamoms, Onion, Tomatoes, Sugar, Cashew, Sugar, Salt, Kashmiri Red Chilli, Garam Masala, Coriander Powder, Bay Leaf, Cinnamon, Cloves, Butter, Ginger Paste, Garlic Paste, Coriander, Cream, Kasuri Methi, Soya",25,420,26,24,5.2,6.5
Soya Tikka Masala,1.5,Dinner,"Cardamoms, Onion, Tomatoes, Sugar, Cashew, Sugar, Salt, Kashmiri Red Chilli, Garam Masala, Coriander Powder, Bay Leaf, Cinnamon, Cloves, Butter, Ginger Paste, Garlic Paste, Coriander, Cream, Kasuri Methi, Soya",25,420,26,24,5.2,6.5
Pancakes,0.5,Breakfast,"Flour 405, Milk, Sugar, Baking Powder, Salt, Butter, Chocolate Chips, Ei Ersatz",8,320,12,48,1.8,2.5
Pancakes,0.5,Lunch,"Flour 405, Milk, Sugar, Baking Powder, Salt, Butter, Chocolate Chips, Ei Ersatz",8,320,12,48,1.8,2.5
Pancakes,0.5,Dinner,"Flour 405, Milk, Sugar, Baking Powder, Salt, Butter, Chocolate Chips, Ei Ersatz",8,320,12,48,1.8,2.5
Pancakes,0.5,Snack,"Flour 405, Milk, Sugar, Baking Powder, Salt, Butter, Chocolate Chips, Ei Ersatz",8,320,12,48,1.8,2.5
Müsli,0.5,Breakfast,"Müsli, Milk, Sugar, Chocolate Powder",10,280,6,45,2.5,6.0
Müsli,0.5,Snack,"Müsli, Milk, Sugar, Chocolate Powder",10,280,6,45,2.5,6.0
Pohe,1,Breakfast,"Pohe, Onion, Green Chilies, Mustard Seeds, Curry Leaves, Turmeric, Peanuts, Salt, Lemon, Oil, Coriander Leaves, Potato",6,320,14,48,2.8,4.0
Pohe,1,Dinner,"Pohe, Onion, Green Chilies, Mustard Seeds, Curry Leaves, Turmeric, Peanuts, Salt, Lemon, Oil, Coriander Leaves, Potato",6,320,14,48,2.8,4.0
Pohe,1,Snack,"Pohe, Onion, Green Chilies, Mustard Seeds, Curry Leaves, Turmeric, Peanuts, Salt, Lemon, Oil, Coriander Leaves, Potato",6,320,14,48,2.8,4.0
Upma,1,Breakfast,"Semolina, Onion, Red Chillies, Green Chilies, Ginger, Mustard Seeds, Urad Dal, Chana Dal, Curry Leaves, Salt, Oil",8,280,10,42,2.2,3.5
Upma,1,Dinner,"Semolina, Onion, Red Chillies, Green Chilies, Ginger, Mustard Seeds, Urad Dal, Chana Dal, Curry Leaves, Salt, Oil",8,280,10,42,2.2,3.5
Upma,1,Snack,"Semolina, Onion, Red Chillies, Green Chilies, Ginger, Mustard Seeds, Urad Dal, Chana Dal, Curry Leaves, Salt, Oil",8,280,10,42,2.2,3.5
Quinoa Upma,1,Breakfast,"Quinoa, Onion, Red Chillies, Green Chilies, Ginger, Mustard Seeds, Urad Dal, Chana Dal, Curry Leaves, Salt, Oil",10,310,11,44,3.8,5.5
Quinoa Upma,1,Dinner,"Quinoa, Onion, Red Chillies, Green Chilies, Ginger, Mustard Seeds, Urad Dal, Chana Dal, Curry Leaves, Salt, Oil",10,310,11,44,3.8,5.5
Quinoa Upma,1,Snack,"Quinoa, Onion, Red Chillies, Green Chilies, Ginger, Mustard Seeds, Urad Dal, Chana Dal, Curry Leaves, Salt, Oil",10,310,11,44,3.8,5.5
Peanut Butter Toast,0.5,Breakfast,"Bread, Peanut Butter",12,340,18,32,1.5,4.0
Peanut Butter Toast,0.5,Snack,"Bread, Peanut Butter",12,340,18,32,1.5,4.0
God Sheera,1,Breakfast,"Semolina, Ghee, Sugar, Milk, Cardamom, Nuts, Cashew",7,380,16,52,1.8,2.0
God Sheera,1,Dinner,"Semolina, Ghee, Sugar, Milk, Cardamom, Nuts, Cashew",7,380,16,52,1.8,2.0
God Sheera,1,Lunch,"Semolina, Ghee, Sugar, Milk, Cardamom, Nuts, Cashew",7,380,16,52,1.8,2.0
God Sheera,1,Snack,"Semolina, Ghee, Sugar, Milk, Cardamom, Nuts, Cashew",7,380,16,52,1.8,2.0
Rajma Rice,1,Lunch,"Kidney Beans, Rice, Onion, Tomatoes, Ginger, Garlic, Cumin, Turmeric, Chili Powder, Garam Masala, Oil, Salt",16,420,8,68,5.5,12.0
Rajma Rice,1,Dinner,"Kidney Beans, Rice, Onion, Tomatoes, Ginger, Garlic, Cumin, Turmeric, Chili Powder, Garam Masala, Oil, Salt",16,420,8,68,5.5,12.0
